"","x"
"839","Os09g0400700"
"840","Os10g0521000"
"841","Os02g0740600"
"842","Os12g0154700"
"843","Os09g0379900"
"844","Os01g0606100"
"845","Os02g0533200"
"846","Os10g0531300"
"847","Os03g0858800"
"848","Os10g0417800"
"849","Os02g0733900"
"850","Os11g0106700"
"851","Os04g0634700"
"852","Os10g0370600"
"853","Os06g0136300"
"854","Os01g0627600"
"855","Os06g0530400"
"856","Os03g0362200"
"857","Os01g0174100"
"858","Os09g0554200"
"859","Os03g0785900"
"860","Os06g0206900"
"861","Os03g0185500"
"862","Os02g0747900"
"863","Os02g0437200"
"864","Os09g0364400"
"865","Os03g0401300"
"866","Os09g0399800"
"867","Os11g0291500"
"868","Os01g0225000"
"869","Os04g0447700"
"870","Os12g0132200"
"871","Os02g0561900"
"872","Os10g0513400"
"873","Os09g0517900"
"874","Os05g0537100"
"875","Os04g0368000"
"876","Os01g0248500"
"877","Os09g0441000"
"878","Os07g0674400"
"879","Os01g0695200"
"880","Os05g0551100"
"881","Os07g0170900"
"882","Os02g0209400"
"883","Os12g0120100"
"884","Os02g0193200"
"885","Os08g0458200"
"886","Os05g0444200"
"887","Os01g0699600"
"888","Os08g0397900"
"889","Os01g0738900"
"890","Os10g0530900"
"891","Os06g0188800"
"892","Os01g0795600"
"893","Os10g0568900"
"894","Os02g0758200"
"895","Os06g0293500"
"896","Os04g0600300"
"897","Os03g0149300"
"898","Os07g0558100"
"899","Os10g0118200"
"900","Os06g0318800"
"901","Os11g0109500"
"902","Os01g0656200"
"903","Os12g0152900"
"904","Os02g0251900"
"905","Os04g0509500"
"906","Os06g0705700"
"907","Os07g0539900"
"908","Os01g0816100"
"909","Os03g0232800"
"910","Os01g0864500"
"911","Os03g0626700"
"912","Os01g0838200"
"913","Os08g0113900"
"914","Os10g0475900"
"915","Os01g0631200"
"916","Os06g0231600"
"917","Os01g0675800"
"918","Os05g0136200"
"919","Os01g0337700"
"920","Os03g0673400"
"921","Os01g0720400"
"922","Os01g0693300"
"923","Os12g0137700"
"924","Os05g0358700"
"925","Os11g0669100"
"926","Os02g0152300"
"927","Os06g0506600"
"928","Os07g0617000"
"929","Os02g0709600"
"930","Os10g0524400"
"931","Os04g0364800"
"932","Os02g0636600"
"933","Os12g0490000"
"934","Os09g0547500"
"935","Os07g0584100"
"936","Os11g0244100"
"937","Os07g0573000"
"938","Os05g0176100"
"939","Os03g0776900"
"940","Os09g0243200"
"941","Os09g0498500"
"942","Os01g0220500"
"943","Os01g0934100"
"944","Os05g0530400"
"945","Os07g0617100"
"946","Os09g0561500"
"947","Os04g0137100"
"948","Os02g0572600"
"949","Os03g0172400"
"950","Os10g0519500"
"951","Os09g0368200"
"952","Os08g0551800"
"953","Os04g0115900"
"954","Os01g0138800"
"955","Os04g0677300"
"956","Os01g0160300"
"957","Os05g0497300"
"958","Os03g0188000"
"959","Os10g0326800"
"960","Os01g0758000"
"961","Os01g0724700"
"962","Os02g0548700"
"963","Os05g0583000"
"964","Os11g0492800"
"965","Os04g0684900"
"966","Os04g0395100"
"967","osa-miR531"
"968","Os01g0839100"
"969","Os01g0884200"
"970","Os07g0162400"
"971","Os07g0684900"
"972","Os02g0561400"
"973","Os06g0694200"
"974","Os07g0551700"
"975","Os02g0789600"
"976","Os07g0587300"
"977","Os01g0186000"
"978","Os03g0375300"
"979","Os03g0326100"
"980","Os12g0137900"
"981","Os06g0652200"
"982","Os09g0517100"
"983","Os08g0474000"
"984","Os01g0692100"
"985","Os01g0129600"
"986","Os05g0180800"
"987","Os08g0399500"
"988","Os07g0638400"
"989","Os03g0741200"
"990","Os02g0686700"
"991","Os10g0525600"
"992","Os03g0258200"
"993","Os01g0550600"
"994","Os10g0406300"
"995","Os01g0356400"
"996","Os08g0476300"
"997","osa-miR167h"
"998","Os08g0490100"
"999","Os05g0164400"
"1000","Os02g0624300"
"1001","Os12g0456400"
"1002","Os01g0797600"
"1003","Os08g0474100"
"1004","Os04g0527000"
"1005","Os01g0371200"
"1006","Os08g0326900"
"1007","Os06g0286500"
"1008","Os01g0160800"
"1009","Os04g0586000"
"1010","Os02g0513000"
"1011","Os01g0736100"
"1012","Os04g0635500"
"1013","Os05g0484800"
"1014","Os06g0220300"
"1015","Os02g0504000"
"1016","Os06g0258000"
"1017","Os08g0205700"
"1018","Os05g0519300"
"1019","Os06g0586000"
"1020","Os07g0418500"
"1021","Os02g0559800"
"1022","Os06g0277700"
"1023","Os06g0114300"
"1024","Os05g0461600"
"1025","Os02g0139400"
"1026","Os02g0751900"
"1027","Os03g0214200"
"1028","Os02g0824100"
"1029","Os02g0214900"
"1030","Os01g0360100"
"1031","Os02g0755600"
"1032","Os09g0457900"
"1033","Os08g0392100"
"1034","Os01g0866400"
"1035","Os06g0542100"
"1036","Os01g0113200"
"1037","Os01g0507700"
"1038","Os04g0321800"
"1039","Os04g0540900"
"1040","Os07g0133500"
"1041","Os07g0548500"
"1042","Os04g0645500"
"1043","Os07g0593000"
"1044","Os10g0563800"
"1045","Os01g0618000"
"1046","Os12g0438600"
"1047","Os08g0205800"
"1048","Os01g0498300"
"1049","Os03g0331700"
"1050","Os08g0414700"
"1051","Os07g0635200"
"1052","Os01g0748500"
"1053","Os11g0700900"
"1054","Os01g0192900"
"1055","Os04g0432100"
"1056","Os12g0568700"
"1057","Os01g0661800"
